Link Text,URL,Type,Source Page(s),HTTP status,Active,Final URL,Notes
Image 3: calendar with dentist appointment note on it,"https://www.jeffreyburns.com/wp-content/uploads/2019/10/calendar-dentist-appointment-1.jpg?resize=300,200",file,http://www.jeffreyburns.com/patient-information/scheduling/ ; https://www.jeffreyburns.com/patient-information/scheduling/,403,no/check,"https://www.jeffreyburns.com/wp-content/uploads/2019/10/calendar-dentist-appointment-1.jpg?resize=300,200",HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Image 3: dental x-ray,https://www.jeffreyburns.com/wp-content/uploads/2019/10/first-visit-1.jpg,file,https://www.jeffreyburns.com/patient-information/first-visit/,403,no/check,https://www.jeffreyburns.com/wp-content/uploads/2019/10/first-visit-1.jpg,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Image 3: smiling man at dental office,https://www.jeffreyburns.com/wp-content/uploads/2019/10/happy-pt-e1571259560666-1.jpg,file,http://www.jeffreyburns.com/patient-information/new-patients/,403,no/check,https://www.jeffreyburns.com/wp-content/uploads/2019/10/happy-pt-e1571259560666-1.jpg,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Image 19: Dr Burns in front of computer monitor,"https://www.jeffreyburns.com/wp-content/uploads/2019/10/implants-thumbnail.png?resize=1024,536",file,https://www.jeffreyburns.com/,403,no/check,"https://www.jeffreyburns.com/wp-content/uploads/2019/10/implants-thumbnail.png?resize=1024,536",HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Image 3: woman entering insurance information into a computer,https://www.jeffreyburns.com/wp-content/uploads/2019/10/insurance-policy-1.jpg,file,http://www.jeffreyburns.com/patient-information/insurance/ ; https://www.jeffreyburns.com/patient-information/insurance/,403,no/check,https://www.jeffreyburns.com/wp-content/uploads/2019/10/insurance-policy-1.jpg,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Link to Jeffrey S. Burns DDS home page,https://www.jeffreyburns.com/wp-content/uploads/2019/10/logo.png,file,http://www.jeffreyburns.com/about-us/ ; http://www.jeffreyburns.com/patient-information/ ; http://www.jeffreyburns.com/patient-information/care-credit/ ; http://www.jeffreyburns.com/patient-information/dental-testimonials/ ; http://www.jeffreyburns.com/patient-information/insurance/ ; http://www.jeffreyburns.com/patient-information/new-patients/ ; http://www.jeffreyburns.com/patient-information/patient-education/ ; http://www.jeffreyburns.com/patient-information/patient-registration/ ; http://www.jeffreyburns.com/patient-information/scheduling/ ; http://www.jeffreyburns.com/restorative-dentistry/ ; +21 more,403,no/check,https://www.jeffreyburns.com/wp-content/uploads/2019/10/logo.png,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Image 1: man flossing teeth,https://www.jeffreyburns.com/wp-content/uploads/2019/10/man-flossing-teeth-1.jpg,file,https://www.jeffreyburns.com/preventative-care/oral-hygiene/,403,no/check,https://www.jeffreyburns.com/wp-content/uploads/2019/10/man-flossing-teeth-1.jpg,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Google map showing office of Jeffrey S Burns DDS,"https://www.jeffreyburns.com/wp-content/uploads/2019/10/map.png?resize=1024,253",file,http://www.jeffreyburns.com/about-us/ ; http://www.jeffreyburns.com/patient-information/ ; http://www.jeffreyburns.com/patient-information/care-credit/ ; http://www.jeffreyburns.com/patient-information/insurance/ ; http://www.jeffreyburns.com/patient-information/new-patients/ ; http://www.jeffreyburns.com/patient-information/patient-education/ ; http://www.jeffreyburns.com/patient-information/patient-registration/ ; http://www.jeffreyburns.com/patient-information/scheduling/ ; http://www.jeffreyburns.com/restorative-dentistry/ ; http://www.jeffreyburns.com/restorative-dentistry/dental-fillings/ ; +17 more,403,no/check,"https://www.jeffreyburns.com/wp-content/uploads/2019/10/map.png?resize=1024,253",HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Image 15: Dr. Jeffery Burns Office | Image 5: Dr. Jeffery Burns Office | Image 6: Dr. Jeffery Burns Office | Image 7: Dr. Jeffery Burns Office,https://www.jeffreyburns.com/wp-content/uploads/2019/10/office.png,file,http://www.jeffreyburns.com/about-us/ ; http://www.jeffreyburns.com/patient-information/ ; http://www.jeffreyburns.com/patient-information/care-credit/ ; http://www.jeffreyburns.com/patient-information/insurance/ ; http://www.jeffreyburns.com/patient-information/new-patients/ ; http://www.jeffreyburns.com/patient-information/patient-education/ ; http://www.jeffreyburns.com/patient-information/patient-registration/ ; http://www.jeffreyburns.com/patient-information/scheduling/ ; http://www.jeffreyburns.com/restorative-dentistry/ ; http://www.jeffreyburns.com/restorative-dentistry/dental-fillings/ ; +17 more,403,no/check,https://www.jeffreyburns.com/wp-content/uploads/2019/10/office.png,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Image 2: a patient history form,https://www.jeffreyburns.com/wp-content/uploads/2019/10/patient-registration-1.jpg,file,http://www.jeffreyburns.com/patient-information/patient-registration/,403,no/check,https://www.jeffreyburns.com/wp-content/uploads/2019/10/patient-registration-1.jpg,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Image 12: Dr. Jeffery Burns Side Logo | Image 2: Dr. Jeffery Burns Side Logo | Image 3: Dr. Jeffery Burns Side Logo | Image 4: Dr. Jeffery Burns Side Logo,https://www.jeffreyburns.com/wp-content/uploads/2019/10/side-logo.png,file,http://www.jeffreyburns.com/about-us/ ; http://www.jeffreyburns.com/patient-information/ ; http://www.jeffreyburns.com/patient-information/care-credit/ ; http://www.jeffreyburns.com/patient-information/insurance/ ; http://www.jeffreyburns.com/patient-information/new-patients/ ; http://www.jeffreyburns.com/patient-information/patient-education/ ; http://www.jeffreyburns.com/patient-information/patient-registration/ ; http://www.jeffreyburns.com/patient-information/scheduling/ ; http://www.jeffreyburns.com/restorative-dentistry/ ; http://www.jeffreyburns.com/restorative-dentistry/dental-fillings/ ; +17 more,403,no/check,https://www.jeffreyburns.com/wp-content/uploads/2019/10/side-logo.png,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Image 34,https://www.jeffreyburns.com/wp-content/uploads/2020/04/care-1.jpg,file,https://www.jeffreyburns.com/,403,no/check,https://www.jeffreyburns.com/wp-content/uploads/2020/04/care-1.jpg,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Image 35,https://www.jeffreyburns.com/wp-content/uploads/2020/04/care-2.jpg,file,https://www.jeffreyburns.com/,403,no/check,https://www.jeffreyburns.com/wp-content/uploads/2020/04/care-2.jpg,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Image 36,https://www.jeffreyburns.com/wp-content/uploads/2020/04/care-3.jpg,file,https://www.jeffreyburns.com/,403,no/check,https://www.jeffreyburns.com/wp-content/uploads/2020/04/care-3.jpg,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
